Date_time,Tweet
2019-03-11 11:10:09,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:10:08,"b""RT @uniksoundsng: How far Manchester United fans, what's the way? Any better? \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 In life, be humble!!! \n\n#ARSMUN #Elections2019 #LIVBUR\xe2\x80\xa6"""
2019-03-11 11:09:54,"b'Slow internet is the second most annoying thing in the world,\nIndian media still top the list.\nOnly paid media can\xe2\x80\xa6 https://t.co/sJGTVoaCGm'"
2019-03-11 11:09:53,b'RT @htTweets: #ElectionsWithHT | The Election Commission announced Lok Sabha polling dates on Sunday. \n\n20 states and Union Territories to\xe2\x80\xa6'
2019-03-11 11:09:49,"b'RT @otvnews: BJD to release candidate list for #Elections2019 soon, informs party supremo &amp; #Odisha CM Naveen Patnaik, adding that BJD is r\xe2\x80\xa6'"
2019-03-11 11:09:41,"b""@INCIndia, TMC, @AamAadmiParty who're crying over Ramzan, have 4gotten that Elections r also coinciding with 7 Fest\xe2\x80\xa6 https://t.co/awOJDKLOsc"""
2019-03-11 11:09:24,b'RT @abhaysi95810486: Will #Pakistan Still Deny the Proof ? The picture of 300 #Terrorists who died in #Surgicalstrike2 by #IndianAirForce (\xe2\x80\xa6'
2019-03-11 11:09:23,"b""RT @NishantJaiHind: It's official now-\n#NarendraModi will be declared PM for the second term on 23.05.2019\n\n#ElectionCommission #NamoAgain\xe2\x80\xa6"""
2019-03-11 11:09:19,b'Here ruling political parties r putting more ads than actually what they are doing in the ground level. If u really\xe2\x80\xa6 https://t.co/iHxjk9PakN'
2019-03-11 11:09:17,"b'Poll dates clashes with Ramzan, an unnecessary row, says Owaisi\n#Poll #dates #clash #Ramzan #unnecessary #row\xe2\x80\xa6 https://t.co/yO1WmIuTPV'"
2019-03-11 11:09:15,b'RT @rajeev_mp: #Elections2019 \n\nThis is the election where voters will vote to #Continue the progress of #TransformingIndia to a corruption\xe2\x80\xa6'
2019-03-11 11:09:13,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:09:11,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:09:01,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:08:43,"b'RT @vaishnavi_1001: CM @Dev_Fadnavis says ""PM Modi had once said Sharad Pawar can sense which way the wind is blowing. It seems he has alre\xe2\x80\xa6'"
2019-03-11 11:08:38,b'#ElectionsWithMC | Union Finance Minister #ArunJaitley also took a jibe at the Opposition citing the leadership cri\xe2\x80\xa6 https://t.co/82uFVF07eV'
2019-03-11 11:08:32,"b'RT @KumariRukshmani: We should not fight elections on borders or temples but for education,farmers,jobs,health...#Elections2019 https://t.c\xe2\x80\xa6'"
2019-03-11 11:08:30,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:08:29,b'RT @SatyaNamo: 1948 - Brahmin genocides of Maharashtra\xe2\x80\x8a\xe2\x80\x94\xe2\x80\x8aThe gruesome episode blotted out of Indian history in the aftermath of untimely as\xe2\x80\xa6'
2019-03-11 11:08:29,b'Only muslims gets previliged treatment in India still they raise questions on intent. \n\n#Elections2019 \n\nShame on y\xe2\x80\xa6 https://t.co/dNmcA5EeYY'
2019-03-11 11:08:25,"b'RT @RamMNK: Hi everyone, #Elections2019 are here. Every vote counts, every voice is important. I urge you all to contribute in spreading wo\xe2\x80\xa6'"
2019-03-11 11:08:24,b'Voter awareness drive organised in Sadar hospital Ramgarh during the pulse polio capmaign\n\n#Elections2019 #Ramgarh\xe2\x80\xa6 https://t.co/QbHcDUHBaJ'
2019-03-11 11:08:04,b'RT @LoveLes_7: Ready!\n\n#JanaSena\n#JSPforNewAgePolitics\n\n#ElectionDate\n#Elections2019\n\n#VoteforGlass https://t.co/v0uRT1xwf0'
2019-03-11 11:07:52,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
